cyear,ccode,scode,country,year,flag,fragment,democ,autoc,polity,polity2,durable,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp,prior,emonth,eday,eyear,eprec,interim,bmonth,bday,byear,bprec,post,change,d4,sf,regtrans
931947,93,NIC,Nicaragua,1947,0,,0,8,-8,-8,11,2,1,4,1,4,2,3,1,2,,,,,,,,,,,,,,,
3851947,385,NOR,Norway,1947,0,,10,0,10,10,2,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
2101947,210,NTH,Netherlands,1947,0,,10,0,10,10,2,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
6981947,698,OMA,Oman,1947,0,,0,6,-6,-6,,3,1,1,1,2,0,1,1,5,,,,,,,,,,,,,,,
951947,95,PAN,Panama,1947,0,,0,3,-3,-3,44,2,1,4,3,1,0,3,3,4,,,,,,,,,,,,,,,
1501947,150,PAR,Paraguay,1947,0,,1,6,-5,-5,0,2,1,4,1,3,3,3,1,6,-9,7,28,1947,1,,7,29,1947,1,-5,4,1,,1
1351947,135,PER,Peru,1947,0,,4,2,2,2,14,3,3,4,3,3,3,8,3,6,,,,,,,,,,,,,,,
8401947,840,PHI,Philippines,1947,0,,4,2,2,2,3,3,3,4,3,3,3,8,3,6,,,,,,,,,,,,,,,
7691947,769,PKS,Pakistan,1947,0,,1,5,-4,-4,0,2,1,4,1,2,3,3,1,7,,,,,,,8,14,1947,1,-4,99,1,,99
2901947,290,POL,Poland,1947,0,,0,7,-7,-7,0,2,1,4,3,4,1,3,3,1,-6,9,2,1939,1,-88,12,22,1947,2,-7,-1,1,,0
2351947,235,POR,Portugal,1947,0,,0,9,-9,-9,17,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
3601947,360,RUM,Romania,1947,0,,-88,-88,-88,-7,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,,,,,,-88,,,,,,0,,,0
5601947,560,SAF,South Africa,1947,0,,7,3,4,4,37,3,3,4,7,4,2,8,7,2,,,,,,,,,,,,,,,
921947,92,SAL,El Salvador,1947,0,,0,8,-8,-8,16,2,1,4,1,4,2,3,1,2,,,,,,,,,,,,,,,
6701947,670,SAU,Saudi Arabia,1947,0,,0,10,-10,-10,21,3,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,,
2301947,230,SPN,Spain,1947,0,,0,7,-7,-7,8,1,0,0,1,4,1,4,1,1,,,,,,,,,,,,,,,
3801947,380,SWD,Sweden,1947,0,,10,0,10,10,30,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
2251947,225,SWZ,Switzerland,1947,0,,10,0,10,10,99,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
6521947,652,SYR,Syria,1947,0,,5,0,5,5,3,3,3,4,5,1,0,8,5,4,,,,,,,,,,,,,,,
8001947,800,THI,Thailand,1947,0,,1,4,-3,-3,4,2,1,4,3,3,3,3,3,6,,,,,,,,,,,,,,,
6401947,640,TUR,Turkey,1947,0,,7,0,7,7,1,2,2,4,6,2,4,7,6,9,,,,,,,,,,,,,,,
2001947,200,UKG,United Kingdom,1947,0,,10,0,10,10,67,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
1651947,165,URU,Uruguay,1947,0,,3,3,0,0,13,2,1,4,3,5,5,3,3,10,,,,,,,,,,,,,,,
21947,2,USA,United States,1947,0,,10,0,10,10,138,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
3641947,364,USR,USSR,1947,0,,0,9,-9,-9,25,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
1011947,101,VEN,Venezuela,1947,0,,1,4,-3,-3,10,2,1,4,3,3,3,3,3,6,,,,,,,,,,,,,,,
6781947,678,YAR,Yemen North,1947,0,,-88,-88,-88,-7,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,,,,,,-88,,,,,,0,,,1
3451947,345,YUG,Yugoslavia,1947,0,,0,7,-7,-7,2,2,1,4,3,4,1,3,3,1,,,,,,,,,,,,,,,
7001948,700,AFG,Afghanistan,1948,0,,0,10,-10,-10,,3,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,,
3391948,339,ALB,Albania,1948,0,,0,9,-9,-9,1,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
1601948,160,ARG,Argentina,1948,0,,0,9,-9,-9,0,2,1,4,1,4,1,3,1,1,-8,2,24,1946,1,-88,12,6,1948,2,-9,-1,1,,0
9001948,900,AUL,Australia,1948,0,,10,0,10,10,47,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
3051948,305,AUS,Austria,1948,0,,10,0,10,10,2,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
2111948,211,BEL,Belgium,1948,0,,10,0,10,10,4,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
7601948,760,BHU,Bhutan,1948,0,,0,10,-10,-10,41,3,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,,
1451948,145,BOL,Bolivia,1948,0,,1,6,-5,-5,12,2,1,4,1,3,3,3,1,6,,,,,,,,,,,,,,,
1401948,140,BRA,Brazil,1948,0,,6,1,5,5,2,3,3,4,5,3,3,8,5,6,,,,,,,,,,,,,,,
3551948,355,BUL,Bulgaria,1948,0,,0,7,-7,-7,1,2,1,4,3,4,1,3,3,1,,,,,,,,,,,,,,,
201948,20,CAN,Canada,1948,0,,10,0,10,10,60,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
1551948,155,CHL,Chile,1948,0,,3,1,2,2,13,2,2,4,3,2,3,7,3,7,,,,,,,,,,,,,,,
7101948,710,CHN,China,1948,0,,1,6,-5,-5,1,2,1,4,1,3,3,3,1,6,,,,,,,,,,,,,,,
1001948,100,COL,Colombia,1948,0,,1,6,-5,-5,0,2,1,4,1,3,3,3,1,6,5,4,8,1948,1,,4,9,1948,1,-5,-10,1,,-2
941948,94,COS,Costa Rica,1948,0,,10,0,10,10,29,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
401948,40,CUB,Cuba,1948,0,,4,1,3,3,31,3,3,4,3,2,3,8,3,7,,,,,,,,,,,,,,,
3151948,315,CZE,Czechoslovakia,1948,0,,0,7,-7,-7,0,2,1,4,3,4,1,3,3,1,10,9,15,1947,3,-88,5,5,1948,1,-7,-17,1,,-2
3901948,390,DEN,Denmark,1948,0,,10,0,10,10,3,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
421948,42,DOM,Dominican Rep,1948,0,,0,9,-9,-9,16,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
1301948,130,ECU,Ecuador,1948,0,,4,2,2,2,0,3,3,4,3,3,3,8,3,6,-1,6,6,1948,1,,6,7,1948,1,2,3,1,,2
6511948,651,EGY,Egypt,1948,0,,5,4,1,1,14,3,1,1,7,3,3,1,7,6,,,,,,,,,,,,,,,
5301948,530,ETH,Ethiopia,1948,0,,0,9,-9,-9,2,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
3751948,375,FIN,Finland,1948,0,,10,0,10,10,4,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
2201948,220,FRN,France,1948,0,,10,0,10,10,2,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
2651948,265,GDR,Germany East,1948,0,,-66,-66,-66,,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,,,,,,-66,,,,,,-66,,,-66
2601948,260,GFR,Germany West,1948,0,,-66,-66,-66,,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,,,,,,-66,,,,,,-66,,,-66
3501948,350,GRC,Greece,1948,0,,8,0,8,8,4,3,3,4,7,2,3,8,7,7,,,,,,,,,,,,,,,
901948,90,GUA,Guatemala,1948,0,,6,1,5,5,4,3,3,4,3,5,5,8,3,10,,,,,,,,,,,,,,,
411948,41,HAI,Haiti,1948,0,,-88,-88,-88,-3,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,,,,,,-88,,,,,,0,,,-1
911948,91,HON,Honduras,1948,0,,1,4,-3,-3,12,2,1,4,3,3,3,3,3,6,,,,,,,,,,,,,,,
3101948,310,HUN,Hungary,1948,0,,0,7,-7,-7,0,2,1,4,3,4,1,3,3,1,-1,10,15,1944,2,-88,12,16,1948,3,-7,-6,1,,-2
8501948,850,INS,Indonesia,1948,0,,5,2,3,3,0,2,1,4,7,2,3,3,7,7,-5,6,30,1946,4,2,7,1,1948,1,3,8,1,,3
2051948,205,IRE,Ireland,1948,0,,8,0,8,8,27,3,3,4,7,2,3,8,7,7,,,,,,,,,,,,,,,
6301948,630,IRN,Iran,1948,0,,3,4,-1,-1,7,3,1,2,5,3,3,2,5,6,,,,,,,,,,,,,,,
6451948,645,IRQ,Iraq,1948,0,,1,5,-4,-4,24,3,1,2,3,3,3,2,3,6,,,,,,,,,,,,,,,
6661948,666,ISR,Israel,1948,0,,10,0,10,10,0,3,3,4,7,5,5,8,7,10,,,,,,,5,14,1948,1,10,99,1,,99
3251948,325,ITA,Italy,1948,0,,10,0,10,10,0,3,3,4,7,5,5,8,7,10,-9,9,15,1943,1,-88,1,1,1948,2,10,19,1,,3
6631948,663,JOR,Jordan,1948,0,,0,10,-10,-10,2,3,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,,
7401948,740,JPN,Japan,1948,0,,-66,-66,-66,,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,,,,,,-66,,,,,,-66,,,-66
4501948,450,LBR,Liberia,1948,0,,0,6,-6,-6,64,2,1,4,3,4,2,3,3,2,,,,,,,,,,,,,,,
6601948,660,LEB,Lebanon,1948,0,,4,2,2,2,5,3,3,4,3,3,3,8,3,6,,,,,,,,,,,,,,,
2121948,212,LUX,Luxembourg,1948,,,10,0,10,10,3,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
701948,70,MEX,Mexico,1948,0,,0,6,-6,-6,18,2,1,4,3,4,2,3,3,2,,,,,,,,,,,,,,,
7121948,712,MON,Mongolia,1948,0,,0,9,-9,-9,24,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
7751948,775,MYA,Myanmar (Burma),1948,0,,8,0,8,8,0,3,3,4,7,2,3,8,7,7,,,,,,,1,4,1948,1,8,99,1,,99
7901948,790,NEP,Nepal,1948,0,,0,5,-5,-5,102,1,0,0,1,3,2,4,1,3,,,,,,,,,,,,,,,
9201948,920,NEW,New Zealand,1948,0,,10,0,10,10,71,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
931948,93,NIC,Nicaragua,1948,0,,0,8,-8,-8,12,2,1,4,1,4,2,3,1,2,,,,,,,,,,,,,,,
3851948,385,NOR,Norway,1948,0,,10,0,10,10,3,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
2101948,210,NTH,Netherlands,1948,0,,10,0,10,10,3,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
6981948,698,OMA,Oman,1948,0,,0,6,-6,-6,,3,1,1,1,2,0,1,1,5,,,,,,,,,,,,,,,
951948,95,PAN,Panama,1948,0,,0,3,-3,-3,45,2,1,4,3,1,0,3,3,4,,,,,,,,,,,,,,,
1501948,150,PAR,Paraguay,1948,0,,1,6,-5,-5,1,2,1,4,1,3,3,3,1,6,,,,,,,,,,,,,,,
1351948,135,PER,Peru,1948,0,,0,6,-6,-6,0,1,0,0,1,4,2,4,1,2,2,10,28,1948,1,,10,29,1948,1,-6,-8,1,,-2
8401948,840,PHI,Philippines,1948,0,,4,2,2,2,4,3,3,4,3,3,3,8,3,6,,,,,,,,,,,,,,,
7691948,769,PKS,Pakistan,1948,0,,3,1,2,2,0,2,2,4,3,2,3,7,3,7,-4,9,11,1948,2,2,,,,,,0,,,3
2901948,290,POL,Poland,1948,0,,0,7,-7,-7,1,2,1,4,3,4,1,3,3,1,,,,,,,,,,,,,,,
2351948,235,POR,Portugal,1948,0,,0,9,-9,-9,18,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
7311948,731,PRK,Korea North,1948,0,,0,7,-7,-7,0,2,1,4,3,4,1,3,3,1,,,,,,,5,1,1948,1,-7,99,1,,99
7321948,732,ROK,Korea South,1948,0,,1,4,-3,-3,0,2,1,4,3,3,3,3,3,6,,,,,,,8,15,1948,1,-3,99,1,,99
3601948,360,RUM,Romania,1948,0,,0,7,-7,-7,0,2,1,4,3,4,1,3,3,1,-7,8,31,1944,2,-88,1,1,1948,2,-7,0,1,,0
5601948,560,SAF,South Africa,1948,0,,7,3,4,4,38,3,3,4,7,4,2,8,7,2,,,,,,,,,,,,,,,
921948,92,SAL,El Salvador,1948,0,,-88,-88,-88,-7,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,-8,12,14,1948,1,-88,,,,,,0,,,0
6701948,670,SAU,Saudi Arabia,1948,0,,0,10,-10,-10,22,3,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,,
2301948,230,SPN,Spain,1948,0,,0,7,-7,-7,9,1,0,0,1,4,1,4,1,1,,,,,,,,,,,,,,,
7801948,780,SRI,Sri Lanka,1948,0,,7,0,7,7,0,3,3,4,7,1,0,8,7,4,,,,,,,2,4,1948,1,7,99,1,,99
3801948,380,SWD,Sweden,1948,0,,10,0,10,10,31,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
2251948,225,SWZ,Switzerland,1948,0,,10,0,10,10,100,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
6521948,652,SYR,Syria,1948,0,,5,0,5,5,4,3,3,4,5,1,0,8,5,4,,,,,,,,,,,,,,,
8001948,800,THI,Thailand,1948,0,,1,4,-3,-3,5,2,1,4,3,3,3,3,3,6,,,,,,,,,,,,,,,
6401948,640,TUR,Turkey,1948,0,,7,0,7,7,2,2,2,4,6,2,4,7,6,9,,,,,,,,,,,,,,,
2001948,200,UKG,United Kingdom,1948,0,,10,0,10,10,68,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
1651948,165,URU,Uruguay,1948,0,,3,3,0,0,14,2,1,4,3,5,5,3,3,10,,,,,,,,,,,,,,,
21948,2,USA,United States,1948,0,,10,0,10,10,139,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
3641948,364,USR,USSR,1948,0,,0,9,-9,-9,26,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
1011948,101,VEN,Venezuela,1948,0,,1,4,-3,-3,11,2,1,4,3,3,3,3,3,6,,,,,,,,,,,,,,,
6781948,678,YAR,Yemen North,1948,0,,1,7,-6,-6,0,3,1,1,1,3,3,1,1,6,-10,6,30,1946,4,-88,2,18,1948,2,-6,4,1,,1
3451948,345,YUG,Yugoslavia,1948,0,,0,7,-7,-7,3,2,1,4,3,4,1,3,3,1,,,,,,,,,,,,,,,
7001949,700,AFG,Afghanistan,1949,0,,0,10,-10,-10,,3,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,,
3391949,339,ALB,Albania,1949,0,,0,9,-9,-9,2,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
1601949,160,ARG,Argentina,1949,0,,0,9,-9,-9,1,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
9001949,900,AUL,Australia,1949,0,,10,0,10,10,48,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
3051949,305,AUS,Austria,1949,0,,10,0,10,10,3,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
2111949,211,BEL,Belgium,1949,0,,10,0,10,10,5,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
7601949,760,BHU,Bhutan,1949,0,,0,10,-10,-10,42,3,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,,
1451949,145,BOL,Bolivia,1949,0,,1,6,-5,-5,13,2,1,4,1,3,3,3,1,6,,,,,,,,,,,,,,,
1401949,140,BRA,Brazil,1949,0,,6,1,5,5,3,3,3,4,5,3,3,8,5,6,,,,,,,,,,,,,,,
3551949,355,BUL,Bulgaria,1949,0,,0,7,-7,-7,2,2,1,4,3,4,1,3,3,1,,,,,,,,,,,,,,,
201949,20,CAN,Canada,1949,0,,10,0,10,10,61,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
1551949,155,CHL,Chile,1949,0,,3,1,2,2,14,2,2,4,3,2,3,7,3,7,,,,,,,,,,,,,,,
7101949,710,CHN,China,1949,0,,0,8,-8,-8,0,2,1,4,2,4,1,3,2,1,-5,1,10,1949,2,-77,10,1,1949,1,-8,-3,1,1,-1
1001949,100,COL,Colombia,1949,0,,1,6,-5,-5,1,2,1,4,1,3,3,3,1,6,,,,,,,,,,,,,,,
941949,94,COS,Costa Rica,1949,0,,10,0,10,10,30,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
401949,40,CUB,Cuba,1949,0,,4,1,3,3,32,3,3,4,3,2,3,8,3,7,,,,,,,,,,,,,,,
3151949,315,CZE,Czechoslovakia,1949,0,,0,7,-7,-7,1,2,1,4,3,4,1,3,3,1,,,,,,,,,,,,,,,
3901949,390,DEN,Denmark,1949,0,,10,0,10,10,4,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
421949,42,DOM,Dominican Rep,1949,0,,0,9,-9,-9,17,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
1301949,130,ECU,Ecuador,1949,0,,4,2,2,2,1,3,3,4,3,3,3,8,3,6,,,,,,,,,,,,,,,
6511949,651,EGY,Egypt,1949,0,,5,4,1,1,15,3,1,1,7,3,3,1,7,6,,,,,,,,,,,,,,,
5301949,530,ETH,Ethiopia,1949,0,,0,9,-9,-9,3,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
3751949,375,FIN,Finland,1949,0,,10,0,10,10,5,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
2201949,220,FRN,France,1949,0,,10,0,10,10,3,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
2651949,265,GDR,Germany East,1949,0,,0,7,-7,-7,0,2,1,4,3,4,1,3,3,1,-9,5,7,1945,1,-66,10,5,1949,1,-7,2,1,,0
2601949,260,GFR,Germany West,1949,0,,10,0,10,10,0,3,3,4,7,5,5,8,7,10,-9,5,7,1945,1,-66,5,24,1949,1,10,19,1,,3
3501949,350,GRC,Greece,1949,0,,7,3,4,4,0,3,3,4,7,4,2,8,7,2,8,10,16,1949,1,,10,17,1949,1,4,-4,1,,-1
901949,90,GUA,Guatemala,1949,0,,6,1,5,5,5,3,3,4,3,5,5,8,3,10,,,,,,,,,,,,,,,
411949,41,HAI,Haiti,1949,0,,-88,-88,-88,-4,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,,,,,,-88,,,,,,0,,,-1
911949,91,HON,Honduras,1949,0,,1,4,-3,-3,13,2,1,4,3,3,3,3,3,6,,,,,,,,,,,,,,,
3101949,310,HUN,Hungary,1949,0,,0,7,-7,-7,1,2,1,4,3,4,1,3,3,1,,,,,,,,,,,,,,,
8501949,850,INS,Indonesia,1949,0,,5,2,3,3,1,2,1,4,7,2,3,3,7,7,,,,,,,,,,,,,,,
2051949,205,IRE,Ireland,1949,0,,8,0,8,8,28,3,3,4,7,2,3,8,7,7,,,,,,,,,,,,,,,
6301949,630,IRN,Iran,1949,0,,3,4,-1,-1,8,3,1,2,5,3,3,2,5,6,,,,,,,,,,,,,,,
6451949,645,IRQ,Iraq,1949,0,,1,5,-4,-4,25,3,1,2,3,3,3,2,3,6,,,,,,,,,,,,,,,
6661949,666,ISR,Israel,1949,0,,10,0,10,10,1,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
3251949,325,ITA,Italy,1949,0,,10,0,10,10,1,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
6631949,663,JOR,Jordan,1949,0,,0,10,-10,-10,3,3,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,,
7401949,740,JPN,Japan,1949,0,,-66,-66,-66,,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,,,,,,-66,,,,,,-66,,,-66
4501949,450,LBR,Liberia,1949,0,,0,6,-6,-6,65,2,1,4,3,4,2,3,3,2,,,,,,,,,,,,,,,
6601949,660,LEB,Lebanon,1949,0,,4,2,2,2,6,3,3,4,3,3,3,8,3,6,,,,,,,,,,,,,,,
2121949,212,LUX,Luxembourg,1949,,,10,0,10,10,4,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
701949,70,MEX,Mexico,1949,0,,0,6,-6,-6,19,2,1,4,3,4,2,3,3,2,,,,,,,,,,,,,,,
7121949,712,MON,Mongolia,1949,0,,0,9,-9,-9,25,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
7751949,775,MYA,Myanmar (Burma),1949,0,,8,0,8,8,1,3,3,4,7,2,3,8,7,7,,,,,,,,,,,,,,,
7901949,790,NEP,Nepal,1949,0,,0,5,-5,-5,103,1,0,0,1,3,2,4,1,3,,,,,,,,,,,,,,,
9201949,920,NEW,New Zealand,1949,0,,10,0,10,10,72,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
