stnam	IFS#	stnum	start	end	Exchange	C.pricechange	UnemploymentRate	GDPn.c	GDPConstant	Units	NOTES
El Salvador	253	92	1991	1998	253..RF.ZF�	25364..XZF...	25367R..ZF...	25399B..ZF...	25399B.PZF...	M	
European Community	NA	995	1957	1998	*	*	*	*	*	*	no data
Fiji	819	950	1993	1998	819..RF.ZF�	81964..XZF...	81967R..ZF...	81999B..ZF�	*	M	
Finland	172	375	1950	1998	172..RF.ZF�	17264..XZF...	17267R..ZF...	17299B..ZF...	17299B.PZF...	B	
France	132	220	1948	1998	132..RF.ZF�	13264..XZF...	13267R..ZF...	13299B.CZF�	13299B.RZF�	B	seasonal GDP
Gabon	646	481	1963	1998	646..RF.ZF�	64664..XZF...	*	64699B..ZF�	*	B	
Gambia	648	420	1965	1998	648..RF.ZF�	64864..XZF...	*	64899B..ZF�	*	M	
Germany	134	255	1951	1998	134..RF.ZF�	13464..XZF...	13467R..ZF...	13499B.CZF�	13499B.RZF�	B	
Ghana	652	452	1957	1998	652..RF.ZF�	65264..XZF...	*	65299B..ZF...	65299B.PZF...	B	
Greece	174	350	1950	1998	174..RF.ZF�	17464..XZF...	17467R..ZF...	17499B..ZF...	17499B.PZF...	B	
Grenada	328	55	1994	1998	328..RF.ZF�	32864..XZF...	*	32899B..ZF...	32899B.PZF...	M	
Guatemala	258	90	1991	1998	258..RF.ZF�	25864..XZF...	*	25899B..ZF...	25899B.PZF...	M	
Guinea Bissau	654	404	1994	1998	654..RF.ZF�	65464..XZF...	*	65499B..ZF�	*	M	
Guinea, Republic of	656	438	1994	1998	656..RF.ZF�	*	*	*	*	*	
Guyana	336	110	1966	1998	336..RF.ZF�	33664..XZF...	*	33699B..ZF...	33699B.PZF...	M	
Haiti	263	41	1950	1998	263..RF.ZF�	26364..XZF...	*	26399B..ZF...	26399B.PZF...	M	
Honduras	268	91	1994	1998	268..RF.ZF�	26864..XZF...	*	26899B..ZF...	26899B.PZF...	M	
Hong Kong	532	997	1986	1998	532..RF.ZF�	53264..XZF...	53267R..ZF...	53299B..ZF...	53299B.PZF...	B	
Hungary	944	310	1973	1998	944..RF.ZF�	94464..XZF...	94467R..ZF...	94499B..ZF...	94499B.PZF...	B	
Iceland	176	395	1968	1998	176..RF.ZF�	17664..XZF...	17667R..ZF...	17699B..ZF...	17699B.PZF...	M	
India	534	750	1948	1998	534..RF.ZF�	53464..XZF...	*	53499B..ZF...	53499B.PZF...	B	
Indonesia	536	850	1950	1998	536..RF.ZF�	53664..XZF...	*	53699B..ZF...	53699B.PZF...	B	
Ireland	178	205	1967	1998	178..RF.ZF�	17864..XZF...	17867R..ZF...	17899B..ZF...	17899B.PZF...	M	
Israel	436	666	1962	1998	436..RH.ZF...	43664..XZF...	43667R..ZF...	43699B..ZF...	43699B.PZF...	M	US$ per (unit nc) for exchange rate
Italy	136	325	1950	1998	136..RF.ZF...	13664..XZF...	13667R..ZF...	13699B.CZF...	13699B.RZF...	Tr	seasonal GDP
Jamaica	343	51	1963	1998	343..RF.ZF...	34364..XZF...	34367R..ZF...	34399B..ZF...	34399B.PZF...	M	
Japan	158	740	1955	1998	158..RF.ZF...	15864..XZF...	15867R..ZF...	15899B.CZF...	15899B.RZF...	B	seasonal GDP
Kenya	664	501	1964	1998	664..RF.ZF...	66464..XZF...	*	66499B..ZF...	66499B.PZF...	M	
Korea, Republic of	542	732	1967	1998	542..RF.ZF...	54264..XZF...	54267R..ZF...	54299B..ZF...	54299B.PZF...	B	
Kuwait	443	690	1963	1998	443..RF.ZF...	44364..XZF...	44367R..ZF...	44399B..ZF...	44399B.PZF�	M	1985 base year
Lebanon	446	660	1949	1951	446..RF.ZF...	44664..XZF...	*	*	*	*	
Lesotho	666	570	1988	1998	666..RF.ZF�	66664..XZF...	*	66699B..ZF...	*	M	
Liberia	668	450	1948	1953	668..RF.ZF�	66864..XZF...	*	*	*	*	
Liechtenstein	NA	223	1994	1998	*	*	*	*	*	*	no data
Luxembourg	137	212	1948	1998	137..RF.ZF...	13764..XZF...	13767R..ZF...	13799B..ZF...	13799B.PZF...	B	
Macau	546	998	1991	1998	*	*	*	*	*	*	no data
Madagascar	674	996	1963	1998	674..RF.ZF...	67464..XZF...	*	67499B..ZF...	67499B.PZF...	B	
Malawi	676	553	1964	1998	676..RF.ZF...	67664..XZF...	*	67699B..ZF...	67699B.PZF...	M	
Malaysia	548	820	1957	1998	548..RF.ZF...	54864..XZF...	54867R..ZF...	54899B..ZF...	54899B.PZF...	M	
Maldives	556	781	1983	1998	556..RF.ZF...	55664..XZF...	*	*	55699B.PZF...	M	
Mali	678	432	1993	1998	678..RF.ZF...	67864..XZF...	*	67899B..ZF...	67899B.PZF...	B	1980 base year
Malta	181	338	1964	1998	181..RF.ZF...	18164..XZF...	18167R..ZF...	18199B..ZF...	18199B.PZF...	M	
Mauritania	682	435	1963	1998	682..RF.ZF...	68264..XZF...	*	68299B..ZF...	*	M	
Mauritius	684	590	1970	1998	684..RF.ZF...	68464..XZF...	*	68499B..ZF...	68499B.PZF...	M	
Mexico	273	70	1986	1998	273..RF.ZF...	27364..XZF...	27367R..ZF...	27399B.CZF...	27399B.RZF...	B	seasonal GDP
Mongolia	948	712	1997	1998	948..RF.ZF...	94864..XZF...	*	94899B..ZF...	94899B.PZF...	M	
Morocco	686	600	1987	1998	686..RF.ZF...	68664..XZF...	68667R..ZF...	68699B..ZF...	68699B.PZF...	B	
Mozambique	688	541	1992	1998	688..RF.ZF...	68864..XZF...	*	68899B..ZF...	68899B.PZF...	B	
Myanmar	518	775	1948	1998	518..RF.ZF...	51864..XZF...	*	51899B..ZF...	51899B.PZF...	M	
Namibia	728	565	1992	1998	728..RF.ZF...	72864..XZF...	*	72899B..ZF...	72899B.PZF...	M	
Netherlands	138	210	1948	1998	138..RF.ZF...	13864..XZF...	13867R..ZF...	13899B.CZF...	13899B.RZF...	B	seasonal GDP
New Zealand	196	920	1948	1998	196..RF.ZF...	19664..XZF...	19667R..ZF...	19699B.CZF...	19699B.RZF...	M	seasonal GDP
Nicaragua	278	93	1950	1998	278..RH.ZF...	27864..XZF...	27867R..ZF...	27899B..ZF...	27899B.PZF...	M	US$ per (unit nc) for exchange rate
Niger	692	436	1963	1998	692..RF.ZF...	69264..XZF...	*	69299B..ZF...	69299B.PZF...	B	1987 base year
Nigeria	694	475	1960	1998	694..RF.ZF...	69464..XZF...	*	69499B..ZF...	69499B.PZF...	M	
Norway	142	385	1948	1998	142..RF.ZF...	14264..XZF...	14267R..ZF...	14299B..ZF...	14299B.PZF...	B	
Pakistan	564	770	1948	1998	564..RF.ZF...	56464..XZF...	*	56499B..ZF...	56499B.PZF...	B	
Panama	283	95	1997	1998	283..RF.ZF...	28364..XZF...	28367R..ZF...	28399B..ZF...	28399B.PZF...	M	
Papua New Guinea	853	910	1994	1998	853..RF.ZF...	85364..XZF...	*	85399B..ZF...	85399B.PZF...	M	
Paraguay	288	150	1994	1998	288..RF.ZF...	28864..XZF...	28867R..ZF...	28899B..ZF...	28899B.PZF...	B	
Peru	293	135	1951	1998	293..RH.ZF...	29364..XZF...	29367R..ZF...	29399B..ZF...	29399B.PZF...	M	US$ per (unit nc) for exchange rate. GDP(nc) in thous.
Philippines	566	840	1979	1998	566..RF.ZF...	56664..XZF...	56667R..ZF...	56699B..ZF...	56699B.PZF...	B	
Poland	964	290	1967	1998	964..RF.ZF...	96464..XZF...	96467R..ZF...	96499B..ZF...	*	M	
Portugal	182	235	1962	1998	182..RF.ZF...	18264..XZF...	18267R..ZF...	18299B..ZF...	18299B.PZF...	B	
Qatar	453	694	1994	1998	453..RF.ZF...	45364..XZF...	*	45399B..ZF...	*	M	
Romania	968	360	1971	1998	968..RF.ZF...	96864..XZF...	96867R..ZF...	96899B..ZF...	96899B.PZF...	B	
Rwanda	714	517	1966	1998	714..RF.ZF...	71464..XZF...	*	71499B..ZF...	*	B	
Saint Kitts and Nevis	361	60	1994	1998	361..RF.ZF...	36164..XZF...	*	36199B..ZF...	36199BAPZF...	M	?
Saint Lucia	362	56	1993	1998	362..RF.ZF...	36264..XZF...	*	36299B..ZF...	36299B.PZF...	M	
Saint Vincent and the Grenadines	364	57	1993	1998	364..RF.ZF...	36464..XZF...	*	36499B..ZF...	36499B.PZF...	M	
Senegal	722	433	1963	1998	722..RF.ZF...	72264..XZF...	*	72299B..ZF...	*	B	
Sierra Leone	724	451	1961	1998	724..RF.ZF...	72464..XZF...	*	72499B..ZF...	72499B.PZF...	M	
Singapore	576	830	1973	1998	576..RF.ZF...	57664..XZF...	57667R..ZF...	57699B..ZF...	57699B.PZF...	M	
Slovak Republic	936	317	1993	1998	936..RF.ZF...	93664..XZF...	93667R..ZF...	93699B..ZF...	93699B.PZF...	M	1991 is base year
Slovenia	961	349	1994	1998	961..RF.ZF...	96164..XZF...	96167R..ZF...	96199B..ZF...	96199B.PZF...	B	1992 is base year
Solomon Islands	813	940	1994	1998	813..RF.ZF...	81364..XZF...	*	*	*	*	
South Africa	199	560	1948	1998	199..RF.ZF...	19964..XZF...	19967R..ZF...	19999B.CZF...	19999B.RZF...	M	
Spain	184	230	1963	1998	184..RF.ZF...	18464..XZF...	18467R..ZF...	18499B.CZF...	18499B.RZF...	B	
Sri Lanka	524	780	1948	1998	524..RF.ZF...	52464..XZF...	52467R..ZF...	52499B..ZF...	52499B.PZF...	M	
Suriname	366	115	1978	1998	366..RF.ZF...	36664..XZF...	36667R..ZF...	36699B..ZF...	*	M	
Swaziland	734	572	1993	1998	734..RF.ZF...	73464..XZF...	*	73499B..ZF...	73499B.PZF...	M	
Sweden	144	380	1950	1998	144..RF.ZF...	14464..XZF...	14467R..ZF...	14499B..ZF...	14499B.PZF...	B	
Switzerland	146	225	1966	1998	146..RF.ZF...	14664..XZF...	14667R..ZF...	14699B.CZF...	14699B.RZF...	B	seasonal GDP
Syria	463	652	1949	1951	463..RF.ZF...	46364..XZF...	46367R..ZF...	46399B..ZF...	46399B.PZF...	M	
Tanzania	738	510	1961	1998	738..RF.ZF...	73864..XZF...	*	73899B..ZF...	73899B.PZF...	B	
Thailand	578	800	1982	1998	578..RF.ZF...	57864..XZF...	57867R..ZF...	57899B..ZF...	57899B.PZF...	B	
Togo	742	461	1964	1998	742..RF.ZF...	74264..XZF...	*	74299B..ZF...	*	B	
Trinidad and Tobago	369	52	1962	1998	369..RF.ZF...	36964..XZF...	36967R..ZF...	36999B..ZF...	36999B.PZF...	M	
Tunisia	744	616	1990	1998	744..RF.ZF...	74464..XZF...	*	74499B..ZF...	74499B.PZF...	M	
Turkey	186	640	1951	1998	186..RF.ZF...	18664..XZF...	18667R..ZF...	18699B..ZF...	18699B.PZF...	Tr	1987 is base year
Uganda	746	500	1962	1998	746..RF.ZF...	74664..XZF...	*	74699B..ZF...	74699B.PZF...	B	
United Arab Emirates	466	696	1994	1998	466..RF.ZF...	*	*	46699B..ZF...	46699B.PZF...	B	
United Kingdom	112	200	1948	1998	112..RF.ZF...	11264..XZF...	11267R..ZF...	11299B.CZF...	11299B.RZF...	B	seasonal GDP
United States	111	2	1948	1998	111..RF.ZF...	11164..XZF...	11167R..ZF...	11199B.CZF...	11199B.RZF...	B	seasonal GDP
Uruguay	298	165	1953	1998	298..RH.ZF�	29864..XZF...	29867R..ZF...	29899B..ZF...	29899B.PZF...	M	US$ per unit (nc) for exchange rate.
Venezuela	299	101	1990	1998	299..RF.ZF...	29964..XZF...	29967R..ZF...	29999B..ZF...	29999B.PZF...	B	
Yugoslavia	188	345	1966	1992	*	*	*	*	*	*	no data
Zaire/Dem Rep of Congo	636	490	1971	1998	636..RF.ZF...	63664..XZF...	63667R..ZF...	63699B..ZF...	63699B.PZF...	Th	GDP(nc) in Millions
Zambia	754	551	1982	1998	754..RF.ZF...	75464..XZF...	*	75499B..ZF...	75499B.PZF...	B	
Zimbabwe	698	552	1948	1998	698..RF.ZF...	69864..XZF...	*	69899B..ZF...	69899B.PZF...	M	

